4way time (us),activity,alias,anqp time (us),ap,avg chain rssi,beacon,bps rx,bps rx ll,bps tx,bps tx ll,bytes rx ll,bytes tx ll,chain rssi,channel,collisions,connections,crypt,cx ago,cx time (us),device,dhcp (ms),down,entity id,gateway ip,hardware,ip,ipv6 address,ipv6 gateway,key/phrase,login-fail,login-ok,logout-fail,logout-ok,mac,mask,misc,mode,mtu,no cx (us),noise,parent dev,phantom,port,port type,pps rx,pps tx,qlen,reset,retry failed,rx bytes,rx crc,rx drop,rx errors,rx fifo,rx frame,rx length,rx miss,rx over,rx pkts,rx-rate,sec,signal,ssid,status,time-stamp,tx abort,tx bytes,tx crr,tx errors,tx fifo,tx hb,tx pkts,tx wind,tx-failed %,tx-rate,wifi retries,timestamp,eid
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57568,57568,58328,58328,42392,42952,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,42392,0,0,0,0,0,0,0,0,28,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:31.270,0,42952,0,0,0,0,28,0,40.425533294677734,245 Mbps,19,1722015870930281.0,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,55805,55805,55805,55805,39364,39364,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,39364,0,0,0,0,0,0,0,0,26,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:31.272,0,39364,0,0,0,0,26,0,21.212121963500977,907.4 Mbps,7,1722015870930281.0,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,58503,58503,59276,59276,49962,50622,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,49962,0,0,0,0,0,0,0,0,33,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:32.211,0,50622,0,0,0,0,33,0,38.88888931274414,245 Mbps,21,1722015871930858.2,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,57027,57027,57027,57027,46934,46934,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,46934,0,0,0,0,0,0,0,0,31,816.6 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:32.213,0,46934,0,0,0,0,31,0,18.421052932739258,907.4 Mbps,7,1722015871930858.2,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57646,57646,58408,58408,56018,56758,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,56018,0,0,0,0,0,0,0,0,37,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:33.153,0,56758,0,0,0,0,37,0,40.32258224487305,245 Mbps,25,1722015872931244.8,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,56334,56334,56334,56334,52990,52990,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-89 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,52990,0,0,0,0,0,0,0,0,35,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:33.154,0,52990,0,0,0,0,35,0,18.604650497436523,907.4 Mbps,8,1722015872931244.8,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,58364,58364,59135,59135,63588,64428,-42 -50 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,63588,0,0,0,0,0,0,0,0,42,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:34.095,0,64428,0,0,0,0,42,0,42.46575164794922,245 Mbps,31,1722015873931685.2,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,57219,57219,57219,57219,60560,60560,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,60560,0,0,0,0,0,0,0,0,40,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:34.096,0,60560,0,0,0,0,40,0,16.66666603088379,907.4 Mbps,8,1722015873931685.2,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57694,57694,58456,58456,69644,70564,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,69644,0,0,0,0,0,0,0,0,46,288.2 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:35.036,0,70564,0,0,0,0,46,0,41.772151947021484,245 Mbps,33,1722015874932093.8,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,56646,56646,56646,56646,66616,66616,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-89 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,66616,0,0,0,0,0,0,0,0,44,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:35.037,0,66616,0,0,0,0,44,0,24.13793182373047,272.2 Mbps,14,1722015874932093.8,1.1.vap0000
